Asiakasnro;Y-tunnus;Toimijan nimi1;Toimijan nimi2;TKohdenro;Kohde;Lahiosoite;Postitmp;Toimintaluokka;Toimintaluokan nimi;Toimintatyyppi;Toimintatyypin nimi;Asiakaspaikkojen määrä;Toiminnan aloitus pvm;
20803;1925435-0;Markkinointitoimisto Johdin Oy;;35603;Markkinointitoimisto Johdin Oy;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
20761;2860113-1;Saporita Panificazione Oy;;35522;Piadineria Saporita;Unioninkatu 28;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;4;;
20745;2138744-3;Findak;;35486;Afrosene Food;Liikkuva elintarvikehuoneisto;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
15177;2538302-8;Restel Fast Food Oy;;35455;Burger King Oulunkylä;Isonpellontie 9;00720 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;136;;
20696;2892660-6;Daruma Oy;;35383;Myyntivaunu/Daruma - Okonomiyaki;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;;
20689;2865020-8;Cose Buone Oy;;35363;Myyntivaunu/Cose Buone;Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;30.04.2018;
3868;0633739-2;Falafel Ky;;5250;Kebab Cafe Falafel;Caloniuksenkatu 2;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;16;26.01.2011;
4931;2042980-8;Venido Oy;;7318;McDonald's Ruoholahti;Itämerenkatu 14;00180 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;130;26.01.2011;
4643;1779240-3;Ruoholahden Burger Oy;;6770;Hesburger Ruoholahti;Porkkalankatu 9-11;00180 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;18;03.02.2011;
20633;1834789-7;(tsu)NAMI (Tulkkitoimisto Tam Le);;35285;Myyntivaunu/(tsu)Nami (Tulkkitoimisto Tam Le);Liikkuva elintarvikehuoneisto;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;01.04.2018;
2819;0110858-2;Avecra Oy;;4996;Aseman Wursti;Helsingin rautatieasema;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;66;17.02.2011;
10247;2288048-3;Fenniaburger Oy;;15175;Hesburger Fennia-talo;Vuorikatu 14;00100 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;52;17.02.2011;
4563;1767260-4;Rautatientorin Burger Oy;;6618;Hesburger Helsinki Rautatientori Kompassitori;Asematunneli;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;62;17.02.2011;
3721;1779273-7;Burgerstadion Oy;;5067;Hesburger Töölö;Mannerheimintie 19 A;00250 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;114;18.01.2007;
4683;1045949-9;Scandinavian Trading Group 2001 Oy Ab;;6827;Neste Oil Helsinki Oulunkylä;Siltavoudintie 19;00640 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;61;02.03.2011;
4066;1025545-3;Itäkeskuksen Burger Oy;;5838;Hesburger Itis Pasaasi;Itäkatu 7 E 18;00930 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;91;15.04.2011;
8123;1972487-7;Jadeite Oy;;12513;Ravintola Eerikin Kulma;Eerikinkatu 28;00180 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;100;02.05.2011;
11180;1542342-8;Pham Thi Phuong;;16878;Manskun Grilli;Mannerheimintie/Kalevankatu kulma;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;05.05.2011;
3720;2004014-9;Burgermakasiini Oy;;5066;Hesburger Kasarmitori;Kasarmikatu 19;00130 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;100;10.05.2011;
3719;2031967-6;Burger-In Oy;;5016;Hesburger Hartwall Areena, alakatsomo B (1.071);Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;13.05.2011;
3719;2031967-6;Burger-In Oy;;12394;Hesburger Hartwall Areena, alakatsomo C (1.039);Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;13.05.2011;
3719;2031967-6;Burger-In Oy;;5017;Hesburger Hartwall Areena, yläkatsomo;Areenankuja 1;00240 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;13.05.2011;
4201;1779247-0;Kontulan Burger Oy;;6000;Hesburger Kontula;Lirokuja 1;00940 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;56;25.05.2011;
4226;1795029-9;Käpylän Burger Oy;;6027;Hesburger Käpylä;Vähänkyröntie 2;00610 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;17;26.05.2011;
11140;1779259-3;Itäkeskuksen Burgerexpress Oy;;16800;Hesburger Myllypuro;Kivensilmänkuja 1;00920 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;87;30.05.2011;
4005;1058715-9;Helsingintien Burger Oy;;5620;Hesburger Kallio;Helsinginkatu 28;00530 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;86;31.05.2011;
3955;1795021-3;Hakaniemen Burger Oy;c/o Megavest;5542;Hesburger Hakaniemi;Hämeentie 2 A;00530 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;100;31.05.2011;
4376;1728515-3;Naamo T:mi;;6243;Metro Fast Food;Hämeentie 6 B L1;00530 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;24;31.05.2011;
4636;0215240-3;RR-Grillit Oy;;6762;Asian Fast Food & Grill;Simonkenttä;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;16;10.06.2011;
4073;0630300-2;J.P. Kioskit Oy;;5845;Pikkujaskan Grilli;Simonkatu;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;10.06.2011;
4073;0630300-2;J.P. Kioskit Oy;;5846;Ykkösjaskan grilli;Dagmarinkatu 1;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;10.06.2011;
4800;0603440-4;Tamoils Oy;;10178;Shell Herttoniemi;Laivalahdenkatu 1 A;00880 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;14.06.2011;
4800;0603440-4;Tamoils Oy;;10179;Shell  Myllypuro;Myllyrengintie 2;00920 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;17.06.2011;
9897;2345578-8;Tuan Trang;;14562;Kontulan Katukeittiö;Ostostie 4 H 3;00940 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;6;23.06.2011;
4647;1795033-6;Ruskeasuon Burger Oy;;6774;Hesburger Ruskeasuo;Mannerheimintie 105;00280 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;50;28.06.2011;
3862;0828115-0;Eurosnack Oy;;9275;Portin Grilli;Seilorinkatu 16;00980 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;30;01.07.2011;
4958;1058206-7;Vuosaaren Burgertalo Oy;;7356;Hesburger Vuosaari;Vuotie 45;00980 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;128;04.07.2011;
10931;2374032-7;Northern Lights Fastfood Oy;c/o Hurme;16353;McDonald's Kluuvi;Kluuvikatu 7;00100 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;138;19.07.2011;
6899;1016227-3;Axedrain Oy;;9898;Grillikioski;Kirkonkyläntie 9;00700 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;23.01.1997;
4808;1715561-5;Tapulin Grilli;;7174;Tapulin Grilli;Ajurinaukio 1;00750 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;07.10.2005;
11092;2012424-6;Tietokujan Burger Oy;;16708;Hesburger Munkkiniemi;Tietokuja 7;00330 Helsinki;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;94;01.08.2011;
4414;2178583-9;Novados Oy;c/o Esa Soininen;6292;McDonald's Pitäjänmäki;Vanha viertotie 29;00380 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;50;01.08.2011;
11206;1665539-4;Michelle & Heidi;;16911;Susan's Grilli;Päivöläntie 40;00730 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;-;29.10.1992;
3719;2031967-6;Burger-In Oy;;15136;Hesburger Messukeskus;Messuaukio 1;00520 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;152;01.10.2010;
6918;1832424-9;Malmin Burger Oy;;9924;Hesburger Malmintori;Malmin kauppatie 18;00700 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;92;02.03.2000;
6919;1779289-2;Jätkäravintolat Oy;;17475;Hesburger Jätkäsaari;Tyynenmerenkatu 9;00220 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;80;01.09.2011;
2041;0116659-8;Lasten Päivän Säätiö/Linnanmäki;;6043;Linnanmäki Kulmagrilli;Tivolikuja 1;00510 HELSINKI;E1008;ElintarvikkeidenTarjoilu;E1008.20;Grilli- tai pikaruokatoiminta;40;05.09.2011;
